llm_model_name,dataset_name,tensor_parallelism_degree,max_requests_per_batch,max_tokens_per_batch,arrival_rate,num_warmup_requests,step_idx,is_warmup_step,timestamp,num_inference_requests,num_prefilling_tokens,num_decoding_tokens,num_finetuning_fwd_tokens,num_finetuning_bwd_tokens,num_bwd_layers
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,61,1,26277516,3,0,3,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,62,1,26314269,3,0,3,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,63,1,26352987,2,0,2,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,64,1,26388679,2,0,2,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,65,1,26424450,2,0,2,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,66,1,26460167,2,0,2,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,67,1,26495836,2,0,2,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,68,1,26531644,2,0,2,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,69,1,26570241,1,0,1,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,70,1,26606076,1,0,1,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,71,1,26641938,1,0,1,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,72,1,26677589,1,0,1,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,73,0,26687881,0,0,0,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,74,0,26688479,0,0,0,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,75,0,26688997,0,0,0,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,76,0,26692490,0,0,0,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,77,0,26694583,0,0,0,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,78,0,26697778,0,0,0,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,79,0,26700312,0,0,0,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,80,0,26703284,0,0,0,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,81,0,26705755,0,0,0,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,82,0,26708739,0,0,0,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,83,0,26711398,0,0,0,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,84,0,26714089,0,0,0,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,85,0,26717323,0,0,0,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,86,0,26719838,0,0,0,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,87,0,26722770,0,0,0,0,0,0
