llm_model_name,dataset_name,tensor_parallelism_degree,max_requests_per_batch,max_tokens_per_batch,arrival_rate,num_warmup_requests,step_idx,is_warmup_step,timestamp,num_inference_requests,num_prefilling_tokens,num_decoding_tokens,num_finetuning_fwd_tokens,num_finetuning_bwd_tokens,num_bwd_layers
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,59,1,26244872,3,0,3,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,60,1,26281593,3,0,3,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,61,1,26318187,3,0,3,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,62,1,26354750,3,0,3,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,63,1,26393183,2,0,2,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,64,1,26429028,2,0,2,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,65,1,26464880,2,0,2,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,66,1,26500653,2,0,2,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,67,1,26536400,2,0,2,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,68,1,26572184,2,0,2,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,69,1,26610779,1,0,1,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,70,1,26646518,1,0,1,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,71,1,26682198,1,0,1,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,72,1,26717960,1,0,1,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,73,0,26721305,0,0,0,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,74,0,26721902,0,0,0,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,75,0,26722721,0,0,0,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,76,0,26727132,0,0,0,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,77,0,26728816,0,0,0,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,78,0,26730765,0,0,0,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,79,0,26733307,0,0,0,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,80,0,26737917,0,0,0,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,81,0,26739448,0,0,0,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,82,0,26741227,0,0,0,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,83,0,26743949,0,0,0,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,84,0,26746767,0,0,0,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,85,0,26749126,0,0,0,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,86,0,26820708,8,128,0,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,87,0,26872339,8,121,7,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,88,0,26926700,8,121,7,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,89,0,26983801,8,121,7,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,90,0,27046573,8,121,7,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,91,0,27115129,8,121,7,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,92,0,27188409,8,121,7,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,93,0,27265357,8,121,7,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,94,0,27346425,8,121,7,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,95,0,27431093,8,121,7,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,96,0,27519777,8,121,7,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,97,0,27612432,8,121,7,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,98,0,27709001,8,121,7,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,99,0,27810867,8,121,7,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,100,0,27917765,8,121,7,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,101,0,28029953,8,121,7,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,102,0,28146276,8,121,7,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,103,0,28269626,8,121,7,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,104,0,28380204,8,96,7,0,0,0
01-ai/yi-1.5-34b,sharegpt,2,8,128,0,10,105,0,28423174,8,0,8,0,0,0
